label,context,board,iteration,fold,check_call,bet_raise
rainbow_connected,flop_check,Qh|Jd|9c,500,0.0,0.4011039607970325,0.5988960392029676
rainbow_connected,flop_check,Qh|Jd|9c,1000,0.0,0.40109273990785077,0.5989072600921492
rainbow_connected,flop_check,Qh|Jd|9c,5000,0.0,0.4010921776921874,0.5989078223078126
rainbow_connected,response_to_bet,Qh|Jd|9c,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
rainbow_connected,response_to_bet,Qh|Jd|9c,2,0.32124163352352963,0.3367952460714312,0.3419631204050392
rainbow_connected,response_to_bet,Qh|Jd|9c,3,0.3098612101731262,0.34005351688375857,0.3500852729431152
rainbow_connected,response_to_bet,Qh|Jd|9c,5,0.2890445545413296,0.34601342710563526,0.3649420183530352
rainbow_connected,response_to_bet,Qh|Jd|9c,10,0.24648427367799366,0.3581986434751605,0.39531708284684586
rainbow_connected,response_to_bet,Qh|Jd|9c,20,0.18976774277483915,0.3744368634014571,0.43579539382370375
rainbow_connected,response_to_bet,Qh|Jd|9c,50,0.12123660973568251,0.39405766164788547,0.484705728616432
rainbow_connected,response_to_bet,Qh|Jd|9c,100,0.09651919609094878,0.4011343779487781,0.5023464259602731
rainbow_connected,response_to_bet,Qh|Jd|9c,200,0.09003595751439859,0.40299056083169144,0.50697348165391
rainbow_connected,response_to_bet,Qh|Jd|9c,500,0.08911009613083161,0.40325563946975695,0.5076342643994114
rainbow_connected,response_to_bet,Qh|Jd|9c,1000,0.0890823862053145,0.40326357295682874,0.5076540408378568
rainbow_connected,response_to_bet,Qh|Jd|9c,5000,0.08908099781675996,0.4032639704592535,0.5076550317239865
paired_board,flop_open,Qs|Jd|7c,1,0.0,0.5,0.5
paired_board,flop_open,Qs|Jd|7c,2,0.0,0.4951124003366692,0.5048875996633309
paired_board,flop_open,Qs|Jd|7c,3,0.0,0.49051230653588734,0.5094876934641126
paired_board,flop_open,Qs|Jd|7c,5,0.0,0.48209798260641373,0.5179020173935862
paired_board,flop_open,Qs|Jd|7c,10,0.0,0.4648946433165773,0.5351053566834227
paired_board,flop_open,Qs|Jd|7c,20,0.0,0.4419691901786493,0.5580308098213507
paired_board,flop_open,Qs|Jd|7c,50,0.0,0.414268143341687,0.585731856658313
paired_board,flop_open,Qs|Jd|7c,100,0.0,0.40427708960162817,0.5957229103983719
paired_board,flop_open,Qs|Jd|7c,200,0.0,0.4016564924000381,0.5983435075999619
paired_board,flop_open,Qs|Jd|7c,500,0.0,0.40128224892246306,0.598717751077537
paired_board,flop_open,Qs|Jd|7c,1000,0.0,0.4012710482621122,0.5987289517378878
paired_board,flop_open,Qs|Jd|7c,5000,0.0,0.40127048706000157,0.5987295129399984
paired_board,flop_check,Qs|Jd|7c,1,0.0,0.5,0.5
paired_board,flop_check,Qs|Jd|7c,2,0.0,0.4951124003366692,0.5048875996633309
paired_board,flop_check,Qs|Jd|7c,3,0.0,0.49051230653588734,0.5094876934641126
paired_board,flop_check,Qs|Jd|7c,5,0.0,0.48209798260641373,0.5179020173935862
paired_board,flop_check,Qs|Jd|7c,10,0.0,0.4648946433165773,0.5351053566834227
paired_board,flop_check,Qs|Jd|7c,20,0.0,0.4419691901786493,0.5580308098213507
paired_board,flop_check,Qs|Jd|7c,50,0.0,0.414268143341687,0.585731856658313
paired_board,flop_check,Qs|Jd|7c,100,0.0,0.40427708960162817,0.5957229103983719
paired_board,flop_check,Qs|Jd|7c,200,0.0,0.4016564924000381,0.5983435075999619
paired_board,flop_check,Qs|Jd|7c,500,0.0,0.40128224892246306,0.598717751077537
paired_board,flop_check,Qs|Jd|7c,1000,0.0,0.4012710482621122,0.5987289517378878
paired_board,flop_check,Qs|Jd|7c,5000,0.0,0.40127048706000157,0.5987295129399984
paired_board,response_to_bet,Qs|Jd|7c,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
paired_board,response_to_bet,Qs|Jd|7c,2,0.32125868245312167,0.33680420636047365,0.3419371111864047
paired_board,response_to_bet,Qs|Jd|7c,3,0.30989430515409894,0.3400709103860175,0.35003478445988356
paired_board,response_to_bet,Qs|Jd|7c,5,0.28910700037468784,0.34604624633416037,0.3648467532911518
paired_board,response_to_bet,Qs|Jd|7c,10,0.24660672821511304,0.3582630010667166,0.39513027071817036
paired_board,response_to_bet,Qs|Jd|7c,20,0.18997016589845006,0.3745432495347711,0.43548658456677886
paired_board,response_to_bet,Qs|Jd|7c,50,0.12153565967607043,0.3942148312748437,0.48424950904908587
paired_board,response_to_bet,Qs|Jd|7c,100,0.09685309683408191,0.40130986387320666,0.5018370392927115
paired_board,response_to_bet,Qs|Jd|7c,200,0.09037899942707439,0.4031708510179269,0.5064501495549987
paired_board,response_to_bet,Qs|Jd|7c,500,0.08945444347994629,0.40343661574527206,0.5071089407747816
paired_board,response_to_bet,Qs|Jd|7c,1000,0.08942677262458273,0.4034445697661765,0.5071286576092409
paired_board,response_to_bet,Qs|Jd|7c,5000,0.08942538619361376,0.40344496829743604,0.5071296455089502
